,bin,timestamp_index,ind,timestamp,views,views_adjusted,percent_traffic
273,274,547,-104.0,20190702,145424,148519,0.000300109992797
274,275,549,-103.0,20190704,134362,140794,0.0002845090250272
275,276,551,-102.0,20190706,137200,133175,0.0002688217687259
276,277,553,-101.0,20190708,141523,134352,0.0002715696918544
277,278,555,-100.0,20190710,153923,152844,0.000308641396038
278,279,557,-99.0,20190712,214042,218855,0.0004423346941886
279,280,559,-98.0,20190714,145717,140572,0.0002843259352115
280,281,561,-97.0,20190716,116147,116544,0.0002355417289721
281,282,563,-96.0,20190718,105853,107527,0.0002172945262124
282,283,565,-95.0,20190720,107188,105235,0.000212456716587
283,284,567,-94.0,20190722,105542,102424,0.0002070132671021
284,285,569,-93.0,20190724,100987,100566,0.0002032090247947
285,286,571,-92.0,20190726,107363,111783,0.000226090201982
286,287,573,-91.0,20190728,87639,85012,0.00017201683973
287,288,575,-90.0,20190730,76090,76529,0.000154372494182
288,289,577,-89.0,20190801,86417,92331,0.0001864861111147
289,290,579,-88.0,20190803,70268,73826,0.0001486979363435
290,291,581,-87.0,20190805,65969,65385,0.0001321426511738
291,292,583,-86.0,20190807,66707,68399,0.0001381941646222
292,293,585,-85.0,20190809,63860,67826,0.000137056433946
293,294,587,-84.0,20190811,65384,65439,0.00013224576496
294,295,589,-83.0,20190813,65807,67940,0.0001373013769982
295,296,591,-82.0,20190815,76946,81606,0.0001649179482946
296,297,593,-81.0,20190817,75655,75706,0.0001528272555442
297,298,595,-80.0,20190819,127703,126911,0.00025549374575
298,299,597,-79.0,20190821,114531,115388,0.0002334230360466
299,300,599,-78.0,20190823,88738,93600,0.0001891641368697
300,301,601,-77.0,20190825,94149,92513,0.0001869838557715
301,302,603,-76.0,20190827,120161,119034,0.0002405831795055
302,303,605,-75.0,20190829,109448,111678,0.000224741125628
303,304,607,-74.0,20190831,110376,110332,0.0002221630110466
304,305,609,-73.0,20190902,80799,78635,0.0001589387487488
305,306,611,-72.0,20190904,93265,95520,0.0001930214255831
306,307,613,-71.0,20190906,99868,107925,0.0002181145072333
307,308,615,-70.0,20190908,97274,94419,0.0001907771559682
308,309,617,-69.0,20190910,88263,87967,0.0001776803927096
309,310,619,-68.0,20190912,75530,77145,0.0001559509132019
310,311,621,-67.0,20190914,66453,67739,0.0001365936240793
311,312,623,-66.0,20190916,68236,65827,0.0001330210946647
312,313,625,-65.0,20190918,62346,61794,0.0001248921474095
313,314,627,-64.0,20190920,59195,61486,0.0001242553982925
314,315,629,-63.0,20190922,62803,58608,0.0001184086337399
315,316,631,-62.0,20190924,57962,55262,0.0001116897418138
316,317,633,-61.0,20190926,79214,78368,0.0001581000372826
317,318,635,-60.0,20190928,303161,288490,0.0005898577248442
318,319,637,-59.0,20190930,262597,246795,0.0005005071008712
319,320,639,-58.0,20191002,121548,117019,0.0002364892136098
320,321,641,-57.0,20191004,96290,95752,0.0001934901171421
321,322,643,-56.0,20191006,88919,81991,0.0001655489618487
322,323,645,-55.0,20191008,74975,69964,0.000141356173942
323,324,647,-54.0,20191010,63051,60998,0.0001232918637835
324,325,649,-53.0,20191012,63968,60001,0.0001212168145117
325,326,651,-52.0,20191014,60375,54348,0.0001098121304606
326,327,653,-51.0,20191016,58515,53789,0.0001086936563333
327,328,655,-50.0,20191018,60153,58526,0.0001182824854554
328,329,657,-49.0,20191020,80850,72269,0.0001456029161931
329,330,659,-48.0,20191022,49870,45875,9.275785504466804e-05
