,bin_death_index,pageid,ma,diff,diff_percent,diff_views,diff_percent_views
0,30.0,34364931,17843.0,14804.0,4.87,11831.0,3.89
1,31.0,34364931,17107.0,14068.0,4.63,11787.0,3.88
2,32.0,34364931,16322.0,13283.0,4.37,11211.0,3.69
3,33.0,34364931,15674.0,12635.0,4.16,12244.0,4.03
4,34.0,34364931,15353.0,12314.0,4.05,12319.0,4.05
5,35.0,34364931,14939.0,11900.0,3.92,10786.0,3.55
6,36.0,34364931,14642.0,11603.0,3.82,11049.0,3.64
7,37.0,34364931,15442.0,12403.0,4.08,17427.0,5.73
8,38.0,34364931,21944.0,18905.0,6.22,57301.0,18.86
9,39.0,34364931,25396.0,22357.0,7.36,35377.0,11.64
10,40.0,34364931,29088.0,26049.0,8.57,38086.0,12.53
11,41.0,34364931,30886.0,27847.0,9.16,24909.0,8.2
12,42.0,34364931,32142.0,29103.0,9.58,19572.0,6.44
13,43.0,34364931,33463.0,30424.0,10.01,20300.0,6.68
14,44.0,34364931,33385.0,30346.0,9.99,16879.0,5.55
15,45.0,34364931,27302.0,24263.0,7.98,14719.0,4.84
16,46.0,34364931,25075.0,22036.0,7.25,19790.0,6.51
17,47.0,34364931,21924.0,18885.0,6.21,16026.0,5.27
18,48.0,34364931,20217.0,17178.0,5.65,12962.0,4.27
19,49.0,34364931,19200.0,16161.0,5.32,12455.0,4.1
20,50.0,34364931,18192.0,15153.0,4.99,13245.0,4.36
21,51.0,34364931,17428.0,14389.0,4.73,11526.0,3.79
22,52.0,34364931,16966.0,13927.0,4.58,11486.0,3.78
23,53.0,34364931,16034.0,12995.0,4.28,13271.0,4.37
24,54.0,34364931,15580.0,12541.0,4.13,12843.0,4.23
25,55.0,34364931,18142.0,15103.0,4.97,30900.0,10.17
26,56.0,34364931,19939.0,16900.0,5.56,25030.0,8.24
27,57.0,34364931,20766.0,17727.0,5.83,19034.0,6.26
28,58.0,34364931,25647.0,22608.0,7.44,45698.0,15.04
29,59.0,34364931,32306.0,29267.0,9.63,58097.0,19.12
30,60.0,34364931,37199.0,34160.0,11.24,47520.0,15.64
31,61.0,34364931,40359.0,37320.0,12.28,34961.0,11.5
32,62.0,34364931,40861.0,37822.0,12.45,34419.0,11.33
33,63.0,34364931,41294.0,38255.0,12.59,28062.0,9.23
34,64.0,34364931,42341.0,39302.0,12.93,26360.0,8.67
35,65.0,34364931,38976.0,35937.0,11.83,22144.0,7.29
36,66.0,34364931,33430.0,30391.0,10.0,19275.0,6.34
37,67.0,34364931,29166.0,26127.0,8.6,17670.0,5.81
38,68.0,34364931,26396.0,23357.0,7.69,15571.0,5.12
39,69.0,34364931,23498.0,20459.0,6.73,14132.0,4.65
40,70.0,34364931,21637.0,18598.0,6.12,15039.0,4.95
41,71.0,34364931,19681.0,16642.0,5.48,12668.0,4.17
42,72.0,34364931,17988.0,14949.0,4.92,10292.0,3.39
43,73.0,34364931,16619.0,13580.0,4.47,9693.0,3.19
44,74.0,34364931,15601.0,12562.0,4.13,10543.0,3.47
45,75.0,34364931,14975.0,11936.0,3.93,11186.0,3.68
46,76.0,34364931,14541.0,11502.0,3.78,11096.0,3.65
47,77.0,34364931,14062.0,11023.0,3.63,11688.0,3.85
48,78.0,34364931,14003.0,10964.0,3.61,12254.0,4.03
49,79.0,34364931,14363.0,11324.0,3.73,12813.0,4.22
50,80.0,34364931,14881.0,11842.0,3.9,13319.0,4.38
51,81.0,34364931,15388.0,12349.0,4.06,14091.0,4.64
52,82.0,34364931,17091.0,14052.0,4.62,23103.0,7.6
53,83.0,34364931,17527.0,14488.0,4.77,14154.0,4.66
54,84.0,34364931,18455.0,15416.0,5.07,18180.0,5.98
55,85.0,34364931,21343.0,18304.0,6.02,32474.0,10.69
56,86.0,34364931,22868.0,19829.0,6.52,23485.0,7.73
57,87.0,34364931,24112.0,21073.0,6.93,22028.0,7.25
58,88.0,34364931,25066.0,22027.0,7.25,20768.0,6.83
59,89.0,34364931,24360.0,21321.0,7.02,18158.0,5.97
60,90.0,34364931,24501.0,21462.0,7.06,15143.0,4.98
61,91.0,34364931,24684.0,21645.0,7.12,19460.0,6.4
62,92.0,34364931,22929.0,19890.0,6.54,20193.0,6.64
63,93.0,34364931,21944.0,18905.0,6.22,16587.0,5.46
64,94.0,34364931,20656.0,17617.0,5.8,13015.0,4.28
65,95.0,34364931,19605.0,16566.0,5.45,13407.0,4.41
66,96.0,34364931,19165.0,16126.0,5.31,15078.0,4.96
67,97.0,34364931,19124.0,16085.0,5.29,14861.0,4.89
68,98.0,34364931,18434.0,15395.0,5.07,14630.0,4.81
69,99.0,34364931,18059.0,15020.0,4.94,17568.0,5.78
70,100.0,34364931,18642.0,15603.0,5.13,20667.0,6.8
71,101.0,34364931,19181.0,16142.0,5.31,16787.0,5.52
72,102.0,34364931,19582.0,16543.0,5.44,16211.0,5.33
73,103.0,34364931,19288.0,16249.0,5.35,13023.0,4.29
74,104.0,34364931,18912.0,15873.0,5.22,12231.0,4.02
75,105.0,34364931,18611.0,15572.0,5.12,12519.0,4.12
76,106.0,34364931,17706.0,14667.0,4.83,11236.0,3.7
77,107.0,34364931,16385.0,13346.0,4.39,11420.0,3.76
78,108.0,34364931,15484.0,12445.0,4.1,10481.0,3.45
79,109.0,34364931,14263.0,11224.0,3.69,7662.0,2.52
80,110.0,34364931,13778.0,10739.0,3.53,9626.0,3.17
81,111.0,34364931,13576.0,10537.0,3.47,10821.0,3.56
82,112.0,34364931,13974.0,10935.0,3.6,15303.0,5.04
83,113.0,34364931,14826.0,11787.0,3.88,17199.0,5.66
84,114.0,34364931,15492.0,12453.0,4.1,16081.0,5.29
85,115.0,34364931,16056.0,13017.0,4.28,14427.0,4.75
86,116.0,34364931,17283.0,14244.0,4.69,16251.0,5.35
87,117.0,34364931,17679.0,14640.0,4.82,12399.0,4.08
88,118.0,34364931,17698.0,14659.0,4.82,10958.0,3.61
89,119.0,34364931,16917.0,13878.0,4.57,9833.0,3.24
90,120.0,34364931,15706.0,12667.0,4.17,8724.0,2.87
150,30.0,33348100,3698.0,1312.0,0.55,3209.0,1.34
151,31.0,33348100,3752.0,1366.0,0.57,1639.0,0.69
152,32.0,33348100,3727.0,1341.0,0.56,861.0,0.36
153,33.0,33348100,3759.0,1373.0,0.58,1184.0,0.5
154,34.0,33348100,3869.0,1483.0,0.62,1311.0,0.55
155,35.0,33348100,4024.0,1638.0,0.69,1571.0,0.66
156,36.0,33348100,3951.0,1565.0,0.66,1180.0,0.49
157,37.0,33348100,3616.0,1230.0,0.52,865.0,0.36
